Tensors_:0,Tensors_:1,Tensors_:2,Tensors_:3,Tensors_:4,Tensors_:5,Tensors_:6,Tensors_:7,Tensors_:8,Points:0,Points:1,Points:2
0.49999124,3.397775e-06,3.3432634e-06,3.397775e-06,0.5000099,-2.257652e-05,3.3432634e-06,-2.257652e-05,0.4999989,17,11,0
0.49988395,1.1027934e-05,8.1275815e-05,1.1027934e-05,0.5000954,-0.00028976792,8.1275815e-05,-0.00028976792,0.5000206,18,11,0
0.49849012,-0.00025557957,0.001759362,-0.00025557957,0.50082535,-0.0038630972,0.001759362,-0.0038630972,0.5006845,19,11,0
0.48789552,-0.00557695,0.023983534,-0.00557695,0.5026568,-0.034599654,0.023983534,-0.034599654,0.5094477,20,11,0
0.46626183,-0.031645823,0.13518924,-0.031645823,0.48722574,-0.12986273,0.13518924,-0.12986273,0.5465124,21,11,0
0.4869521,-0.052538186,0.27761325,-0.052538186,0.44059622,-0.17182109,0.27761325,-0.17182109,0.5724517,22,11,0
0.6031053,-0.008787587,0.34252667,-0.008787587,0.39835253,-0.045990363,0.34252667,-0.045990363,0.4985422,24,11,0
0.66695416,0.028564814,0.32769787,0.028564814,0.40286288,0.026576193,0.32769787,0.026576193,0.430183,25,11,0
0.7309544,0.07463205,0.2729563,0.07463205,0.41251835,0.09558354,0.2729563,0.09558354,0.35652724,26,11,0
0.7748847,0.14129391,0.1725087,0.14129391,0.41730034,0.14355774,0.1725087,0.14355774,0.307815,27,11,0
0.76484954,0.22478393,0.05633676,0.22478393,0.42997143,0.14069864,0.05633676,0.14069864,0.30517903,28,11,0
0.7078061,0.28941908,-0.03767365,0.28941908,0.46223438,0.089752935,-0.03767365,0.089752935,0.32995948,29,11,0
0.6341286,0.31689945,-0.1071241,0.31689945,0.49807608,0.018932704,-0.1071241,0.018932704,0.36779535,30,11,0
0.49471623,0.105546884,-0.071758784,0.105546884,0.5067393,-0.04163418,-0.071758784,-0.04163418,0.49854445,32,11,0
0.49979535,0.0006032853,-0.00052055356,0.0006032853,0.49998847,-0.0003765574,-0.00052055356,-0.0003765574,0.5002162,33,11,0
0.49999997,2.2263738e-08,7.596171e-09,2.2263738e-08,0.5,-9.659725e-08,7.596171e-09,-9.659725e-08,0.5,18,12,0
