"V:0","V:1","V:2","Points:0","Points:1","Points:2"
-18.746,-6.823,6.0993e-24,-1.3031,3.5802,-0.61915
-14.614,-5.2196,-11.76,-1.4358,3.9448,-0.61915
-17.276,-9.9746,6.0993e-24,-1.905,3.2996,-0.61915
-13.486,-7.678,-11.761,-2.099,3.6356,-0.61915
-15.282,-12.823,6.0993e-24,-2.449,2.9186,-0.61915
-11.948,-9.9033,-11.761,-2.6984,3.2159,-0.61915
-12.823,-15.282,6.0993e-24,-2.9186,2.449,-0.61915
-10.047,-11.828,-11.761,-3.2159,2.6984,-0.61915
-9.9746,-17.276,6.0993e-24,-3.2996,1.905,-0.61915
-7.8407,-13.393,-11.761,-3.6356,2.099,-0.61915
-6.823,-18.746,6.0993e-24,-3.5802,1.3031,-0.61915
-5.3959,-14.552,-11.761,-3.9448,1.4358,-0.61915
-3.4641,-19.646,6.0993e-24,-3.7521,0.6616,-0.61915
-2.7871,-15.267,-11.761,-4.1342,0.72898,-0.61915
1.5114e-13,-19.949,6.0993e-24,-3.81,-2.8866e-14,-0.61915
-0.093625,-15.519,-11.761,-4.198,-1.4017e-14,-0.61915
3.4641,-19.646,6.0993e-24,-3.7521,-0.6616,-0.61915
2.6026,-15.299,-11.761,-4.1342,-0.72898,-0.61915
6.823,-18.746,6.0993e-24,-3.5802,-1.3031,-0.61915
5.2198,-14.615,-11.761,-3.9448,-1.4358,-0.61915
9.9746,-17.276,6.0993e-24,-3.2996,-1.905,-0.61915
7.6784,-13.487,-11.762,-3.6356,-2.099,-0.61915
12.823,-15.282,6.0993e-24,-2.9186,-2.449,-0.61915
9.9041,-11.949,-11.762,-3.2159,-2.6984,-0.61915
15.282,-12.823,6.0993e-24,-2.449,-2.9186,-0.61915
11.829,-10.048,-11.761,-2.6984,-3.2159,-0.61915
17.276,-9.9746,6.0993e-24,-1.905,-3.2996,-0.61915
13.394,-7.8412,-11.761,-2.099,-3.6356,-0.61915
18.746,-6.823,6.0993e-24,-1.3031,-3.5802,-0.61915
14.552,-5.3962,-11.76,-1.4358,-3.9448,-0.61915
19.646,-3.4641,6.0993e-24,-0.6616,-3.7521,-0.61915
19.949,0,6.0993e-24,0,-3.81,-0.61915
-7.1358,-2.3116,-21.123,-1.7012,4.674,-0.61915
-6.6258,-3.5154,-21.124,-2.487,4.3076,-0.61915
-5.915,-4.6128,-21.125,-3.1972,3.8103,-0.61915
-5.0248,-5.5706,-21.126,-3.8103,3.1972,-0.61915
-3.9816,-6.3594,-21.125,-4.3076,2.487,-0.61915
-2.8169,-6.9546,-21.124,-4.674,1.7012,-0.61915
-1.5664,-7.3378,-21.124,-4.8984,0.86373,-0.61915
-0.26844,-7.4977,-21.124,-4.974,6.2117e-14,-0.61915
1.0375,-7.4298,-21.124,-4.8984,-0.86373,-0.61915
2.3118,-7.1365,-21.125,-4.674,-1.7012,-0.61915
3.5161,-6.6271,-21.126,-4.3076,-2.487,-0.61915
4.6141,-5.9167,-21.126,-3.8103,-3.1972,-0.61915
5.5723,-5.0262,-21.125,-3.1972,-3.8103,-0.61915
6.3609,-3.9824,-21.124,-2.487,-4.3076,-0.61915
6.9557,-2.8173,-21.123,-1.7012,-4.674,-0.61915
-10.746,-3.6126,-19.085,-1.5685,4.3094,-0.61915
-9.9556,-5.4237,-19.086,-2.293,3.9716,-0.61915
-8.8629,-7.0702,-19.087,-2.9478,3.5131,-0.61915
-7.5011,-8.5025,-19.087,-3.5131,2.9478,-0.61915
-5.9111,-9.6766,-19.087,-3.9716,2.293,-0.61915
-4.141,-10.556,-19.086,-4.3094,1.5685,-0.61915
-2.245,-11.115,-19.085,-4.5163,0.79635,-0.61915
-0.28079,-11.335,-19.085,-4.586,4.946e-14,-0.61915
1.6918,-11.211,-19.086,-4.5163,-0.79635,-0.61915
3.6128,-10.747,-19.086,-4.3094,-1.5685,-0.61915
5.4243,-9.9569,-19.087,-3.9716,-2.293,-0.61915
7.0714,-8.8645,-19.087,-3.5131,-2.9478,-0.61915
8.5041,-7.5024,-19.087,-2.9478,-3.5131,-0.61915
9.6781,-5.9119,-19.086,-2.293,-3.9716,-0.61915
10.558,-4.1414,-19.085,-1.5685,-4.3094,-0.61915
0,0,0,0,5.75,-1
-4.0558,-0.1559,-15.357,0,5.362,-1
-3.9666,-0.85773,-15.357,-0.9311,5.2805,-1
0,0,0,-0.99848,5.6626,-1
-3.757,-1.5334,-15.357,-1.8339,5.0386,-1
0,0,0,-1.9666,5.4032,-1
-3.4335,-2.1625,-15.358,-2.681,4.6436,-1
0,0,0,-2.875,4.9796,-1
-3.006,-2.726,-15.358,-3.4466,4.1075,-1
0,0,0,-3.696,4.4048,-1
-2.4872,-3.207,-15.359,-4.1075,3.4466,-1
0,0,0,-4.4048,3.696,-1
-1.8928,-3.5905,-15.358,-4.6436,2.681,-1
0,0,0,-4.9796,2.875,-1
-1.2407,-3.8648,-15.358,-5.0386,1.8339,-1
0,0,0,-5.4032,1.9666,-1
-0.55072,-4.0214,-15.358,-5.2805,0.9311,-1
0,0,0,-5.6626,0.99848,-1
0.15594,-4.0557,-15.357,-5.362,5.361e-14,-1
0,0,0,-5.75,4.341e-14,-1
0.85779,-3.9667,-15.358,-5.2805,-0.9311,-1
0,0,0,-5.6626,-0.99848,-1
1.5336,-3.7574,-15.358,-5.0386,-1.8339,-1
0,0,0,-5.4032,-1.9666,-1
2.1629,-3.4342,-15.359,-4.6436,-2.681,-1
0,0,0,-4.9796,-2.875,-1
2.7267,-3.0068,-15.359,-4.1075,-3.4466,-1
0,0,0,-4.4048,-3.696,-1
3.2078,-2.4879,-15.358,-3.4466,-4.1075,-1
0,0,0,-3.696,-4.4048,-1
3.5913,-1.8933,-15.358,-2.681,-4.6436,-1
0,0,0,-2.875,-4.9796,-1
3.8654,-1.2409,-15.357,-1.8339,-5.0386,-1
0,0,0,-1.9666,-5.4032,-1
4.0218,-0.55083,-15.357,-0.9311,-5.2805,-1
0,0,0,-0.99848,-5.6626,-1
4.0558,0.1559,-15.356,0,-5.362,-1
0,0,0,0,-5.75,-1
-7.8704,-0.52725,-20.104,0,4.974,-1
-7.6585,-1.8858,-20.104,-0.86373,4.8984,-1
7.8431,-0.84752,-20.104,-0.86373,-4.8984,-1
7.8704,0.52725,-20.104,0,-4.974,-1
-11.756,-0.71529,-18.003,0,4.586,-1
-11.453,-2.7458,-18.004,-0.79635,4.5163,-1
11.702,-1.3371,-18.004,-0.79635,-4.5163,-1
11.756,0.71529,-18.003,0,-4.586,-1
-15.82,-0.57315,-10.82,0,4.198,-1
-15.479,-3.3114,-10.821,-0.72898,4.1342,-1
15.679,-2.1826,-10.821,-0.72898,-4.1342,-1
15.82,0.57315,-10.82,0,-4.198,-1
-19.949,0,6.0993e-24,0,3.81,-1
-19.646,-3.4641,6.0993e-24,-0.6616,3.7521,-1
-18.746,-6.823,6.0993e-24,-1.3031,3.5802,-1
-14.669,-5.949,-10.821,-1.4358,3.9448,-1
-17.276,-9.9746,6.0993e-24,-1.905,3.2996,-1
-13.413,-8.4059,-10.821,-2.099,3.6356,-1
-15.282,-12.823,6.0993e-24,-2.449,2.9186,-1
-11.749,-10.607,-10.821,-2.6984,3.2159,-1
-12.823,-15.282,6.0993e-24,-2.9186,2.449,-1
-9.7292,-12.487,-10.822,-3.2159,2.6984,-1
-9.9746,-17.276,6.0993e-24,-3.2996,1.905,-1
-7.4133,-13.987,-10.822,-3.6356,2.099,-1
-6.823,-18.746,6.0993e-24,-3.5802,1.3031,-1
-4.8719,-15.062,-10.821,-3.9448,1.4358,-1
